baseline,status,taz_id,node_id,density,density_rank,rank_bucket,major_level,outside_len_ft,line_node_dist_ft
earliest,removed,5126,904701,0.0006555947267293349,6,5-6,4.0,1345.4512491711941,10339.594896734265
earliest,retained,5127,349631,0.0010915426500865966,1,1,3.0,11.378033375372503,256.6802525872792
earliest,removed,5127,1552188,0.0010853481209130132,2,2,4.0,0.0,7036.56803951534
earliest,removed,5127,1554341,0.0010446885159970172,3,3-4,4.0,0.0,193.04909561926465
earliest,retained,5127,1660851,0.0009695641386166465,4,3-4,4.0,0.0,269.7997295502573
earliest,retained,5128,1658633,0.0008401481621258536,1,1,5.0,16.464516803847534,568.9820912511567
earliest,removed,5128,349240,0.0007382324630916749,2,2,4.0,611.5906100368655,3704.3339039080747
earliest,removed,5128,418413,0.00038577823511477783,6,5-6,4.0,0.0,3758.2544880103756
earliest,removed,5128,905621,0.0002909635432678101,7,7-10,3.0,618.5663820512113,4221.044878941239
earliest,removed,5130,349936,0.004502484033451803,1,1,3.0,0.0,443.47502704441484
earliest,removed,5130,656679,0.0017691572006172164,2,2,3.0,0.0,44.42086436081739
earliest,retained,5130,349571,0.0009915905914831516,5,5-6,3.0,23.199711073665473,380.598800597937
earliest,removed,5130,656665,0.00043186193802825155,8,7-10,3.0,5304.905387602834,6091.276585709783
earliest,removed,5131,32747,0.002496263816958465,1,1,3.0,0.0,76.72225973483354
earliest,removed,5131,1660447,0.0014063246650322574,3,3-4,3.0,0.0,5202.2628763876355
earliest,removed,5131,1660446,0.0012663012990774421,4,3-4,3.0,0.0,2233.1471482941506
earliest,removed,5131,32749,0.0009285430229410673,5,5-6,3.0,0.018396271055872094,4287.36438039771
earliest,removed,5405,444124,0.0009461547799349543,1,1,3.0,0.0,374.5475870310723
earliest,removed,5405,924242,0.0007481799189058171,4,3-4,3.0,671.6190682591762,6163.818632759664
earliest,retained,5405,369316,0.0004882027811073876,5,5-6,4.0,34.46818235519727,663.9025206393133
earliest,removed,5405,674910,0.00043117718928986144,7,7-10,3.0,20472.247395400944,20323.135102935295
earliest,removed,5406,1031202,0.0006330717990646207,1,1,3.0,1322.6961711515282,12057.0754944909
earliest,removed,5406,153788,0.0005597568738455434,2,2,3.0,7790.975502969438,14106.748030293733
earliest,removed,5406,1028957,0.0005337648725072048,3,3-4,3.0,1470.8658096684483,1597.4647918656133
earliest,removed,5406,905322,0.0005261563723008399,4,3-4,3.0,4318.228347698763,7821.899584662511
earliest,removed,5445,342470,0.0008963764034896979,1,1,3.0,0.0,1980.5391789223493
earliest,removed,5445,551412,0.0006040498109674903,2,2,3.0,0.0,1495.0827076135329
earliest,removed,5445,899783,0.00028294785795186724,5,5-6,3.0,0.0,42.451104479095044
earliest,removed,5445,342478,0.0,8,7-10,3.0,1247.9685413931732,8774.552191116863
earliest,removed,5446,1703790,0.0036082750771138706,2,2,5.0,0.0,25.23355174696864
earliest,removed,5446,930449,0.0019280147008507627,3,3-4,5.0,47.71174452713764,602.5503168161958
earliest,removed,5446,930449,0.0005209381795923336,5,5-6,5.0,47.71174452713764,4798.149034654866
earliest,removed,5446,342470,0.0003059325008233432,6,5-6,3.0,722.0353996457054,8250.849096760145
earliest,retained,5468,1007933,0.0032372913602693432,1,1,4.0,0.0,65.94932285510004
earliest,removed,5468,1516109,0.0029413797416485616,3,3-4,4.0,3207.742366487461,3969.0081400364156
earliest,retained,5468,254041,0.001979021745417254,4,3-4,5.0,2.983192797744623,9.494156598216726
earliest,removed,5468,736628,0.0016342475653192364,6,5-6,5.0,7.222727855179481,518.9416946821519
earliest,removed,5469,1461766,0.010950583045932737,1,1,4.0,0.0,2.448464005300451
earliest,retained,5469,1461771,0.006703210499408951,3,3-4,4.0,19.447055614169177,140.02592849024737
earliest,removed,5469,1007992,0.003916203608727859,6,5-6,4.0,7.4656725467001,142.54690286998962
earliest,removed,5469,1461786,0.0036461505852006006,7,7-10,4.0,0.0,176.11871357262137
earliest,removed,5473,1474667,0.013778356349675449,1,1,3.0,0.0,71.21988845060409
earliest,removed,5473,253886,0.009436996688170468,2,2,4.0,0.0,41.6520161509837
earliest,removed,5473,1008182,0.008733877158243841,3,3-4,3.0,0.0,13.122105294850208
earliest,removed,5473,1705234,0.0023085944861309447,8,7-10,4.0,5.250231285380757,330.10022755359955
earliest,removed,5474,1079868,0.02123488670608496,1,1,3.0,0.0,39.05403785060363
earliest,removed,5474,1008720,0.015467551138815209,2,2,3.0,0.0,29.546608470976093
