taz_id,node_id,was_20260722_candidate,candidate_best_rank,candidate_max_density,candidate_sector_count,major_level,outside_len_ft
1687,104170,False,,,,3.0,4.082418554749529
1692,73372,False,,,,3.0,0.0
1697,1167527,False,,,,4.0,0.0
1698,536568,True,9.0,0.010711324998283037,1.0,4.0,13.518365426667765
1702,110801,False,,,,4.0,0.6819984845217896
1706,110832,False,,,,4.0,0.0
1706,1131563,False,,,,4.0,5.043147756926115
1707,1135045,False,,,,4.0,0.0
1709,110778,False,,,,4.0,9.233613760873475
1709,111013,False,,,,4.0,0.0
1709,1000302,False,,,,4.0,4.351601764896169
1710,110453,False,,,,4.0,23.397623499219527
1710,110728,False,,,,4.0,0.0
1715,105811,False,,,,4.0,0.0
1716,105843,True,1.0,0.015834801468138246,2.0,4.0,10.890682862513271
1717,114909,False,,,,4.0,0.0
1717,600460,False,,,,4.0,0.0
1718,108625,False,,,,3.0,0.0
1718,115162,True,8.0,0.004774742078568134,1.0,4.0,1.5072151792653505
1720,105779,False,,,,5.0,18.61962329186102
1720,105814,False,,,,4.0,0.0
1721,108346,True,2.0,0.008026811184480922,1.0,3.0,75.89024393341894
1721,114913,False,,,,4.0,87.6334095433061
