taz_id,node_id,earliest_to_final,stabilized_to_final,in_earliest,in_stabilized,in_final,density,density_rank,major_level,outside_len_ft,line_node_dist_ft
61,66959,removed,not_applicable,True,False,False,0.009740699065776777,2,4.0,3388.3935143666863,3236.533043808182
61,872675,removed,not_applicable,True,False,False,0.009880245676779814,1,4.0,3457.0302822082294,4057.7982723922305
61,994546,removed,not_applicable,True,False,False,0.007954025176837217,3,4.0,504.29284913622956,521.2134833764351
62,64354,added,unchanged,False,True,True,0.003287082057792302,9,4.0,0.0,665.1645464202853
62,66263,removed,not_applicable,True,False,False,0.005624340826729657,5,4.0,5333.057252478864,4629.611223623765
62,66933,removed,not_applicable,True,False,False,0.006287518802504792,3,4.0,4262.039261126933,5536.522582897066
62,634076,removed,not_applicable,True,False,False,0.005831557347195773,4,4.0,5.33967851681459,174.403423846481
62,1450425,unchanged,unchanged,True,True,True,0.006954545321972908,1,4.0,19.308296230929383,380.94432595820643
63,66168,removed,not_applicable,True,False,False,0.007630914113904414,5,4.0,1322.8073016186556,1449.7323272351234
63,66931,added,added,False,False,True,0.0,0,4.0,0.0,0.0
63,66934,removed,removed,True,True,False,0.011348095044899162,1,4.0,3.051020945084516,27.234768886227137
63,66979,added,added,False,False,True,0.0,0,4.0,3.2631701348847097,0.0
63,995971,removed,not_applicable,True,False,False,0.006962703558475833,7,4.0,0.08861491377753136,1848.8481298135707
63,996009,removed,removed,True,True,False,0.009004902430479186,3,4.0,2.509663265840983,69.73765317371527
65,65938,removed,not_applicable,True,False,False,0.007291836938290932,2,4.0,12.449105450069514,20.516222996533607
65,66453,unchanged,added,True,False,True,0.0065730147384088135,6,4.0,3098.3754230418463,3098.2527091223533
65,66464,added,removed,False,True,False,0.0064231057057042105,7,4.0,6.73133285578002,2930.336042336003
65,66753,removed,not_applicable,True,False,False,0.006658160131035622,5,3.0,2301.6704136270264,2278.032908955574
65,787209,added,removed,False,True,False,0.010256070667562242,1,4.0,0.0,51.88195843063295
65,1164342,added,added,False,False,True,0.0,0,4.0,0.0,0.0
65,1652603,removed,not_applicable,True,False,False,0.006838245732120676,4,4.0,19.561720819407984,24.302005784259645
66,65979,removed,not_applicable,True,False,False,0.006876859517267528,4,4.0,573.6831550022154,527.0978980633365
66,66405,added,removed,False,True,False,0.009929497029679121,1,4.0,2.156940588182663,2201.6732311450246
66,66416,added,added,False,False,True,0.0,0,4.0,0.0,0.0
66,730106,removed,not_applicable,True,False,False,0.008708781916395127,2,3.0,5060.761082837922,3786.4039112687656
66,1165121,removed,not_applicable,True,False,False,0.006876273739684399,5,4.0,2947.5406487197542,3819.60933191986
66,1176596,removed,not_applicable,True,False,False,0.009929497029679121,1,4.0,512.4802627892232,519.973763108979
67,66768,removed,removed,True,True,False,0.008093004134354972,4,3.0,1.0703614049606716,192.57718381040894
67,66815,unchanged,added,True,False,True,0.018246883265721887,1,3.0,0.0,83.74689059338534
67,730106,added,removed,False,True,False,0.010404968301978686,2,3.0,0.0,835.0600785970114
67,993482,removed,not_applicable,True,False,False,0.010404968301978686,2,4.0,6073.088087359148,6100.404649865768
