taz_id,old_node_id,new_node_id,endpoint_shift_ft,old_density,old_density_rank,old_major_level,new_major_level,major_level_change,new_was_20260722_candidate,new_candidate_best_rank
403,599126,38000,1607.851376839335,0.0026028705568087395,7,3.0,4.0,less major,False,
404,36692,872568,1834.1446644137307,0.003496192845131078,9,4.0,4.0,same,False,
404,994092,37146,1613.0539482609704,0.012082758819379947,1,3.0,3.0,same,False,
408,36240,36139,3874.346088051733,0.004190175601907578,7,4.0,4.0,same,False,
414,992300,551694,519.8393982764771,0.002737775379187101,1,4.0,4.0,same,False,
415,996241,35662,604.7008268561054,0.007730822235463762,1,4.0,4.0,same,False,
419,1538248,561178,3446.9845053315044,0.0036411655385736657,6,4.0,4.0,same,False,
419,36630,993241,3924.048762439496,0.004530286135894345,3,4.0,4.0,same,False,
419,913789,52451,863.906534296674,0.004837849203025512,1,4.0,4.0,same,False,
420,994199,37203,2167.6236043187982,0.0019395622943893381,7,4.0,4.0,same,False,
420,639300,927949,924.8154951130467,0.004846612824454314,2,4.0,4.0,same,False,
424,36542,36877,1206.7086185153435,0.006806172264585772,1,3.0,4.0,less major,False,
424,1209696,37031,1296.4292267609526,0.0062467199025833505,2,4.0,4.0,same,False,
424,36434,36447,1813.508513903837,0.004794479220081525,6,3.0,3.0,same,True,7.0
425,37039,37191,6099.599400779998,0.0039699631045248315,3,4.0,4.0,same,False,
489,83225,83262,2827.400293555592,0.012759364114150894,2,3.0,4.0,less major,False,
489,1350902,764772,817.3514849816955,0.010529197977086412,5,4.0,4.0,same,False,
489,761238,82139,1215.7081105263271,0.014650100194140744,1,3.0,3.0,same,False,
490,1698133,83243,1069.7765046969394,0.017175017096064102,1,3.0,3.0,same,False,
490,891271,1005290,1082.8350289852253,0.008762125179871483,6,4.0,4.0,same,False,
499,61394,61391,464.55493754781116,0.017776700829666498,1,4.0,4.0,same,False,
499,1377134,59796,1290.6251663434657,0.01007380041158695,5,3.0,3.0,same,False,
499,1691086,60520,3141.8303407418784,0.015434488402822022,2,4.0,4.0,same,False,
500,59809,844608,2449.8280204943744,0.010787999503229385,5,4.0,4.0,same,True,4.0
500,1148115,60494,1575.737252844578,0.014124969817578084,2,4.0,4.0,same,False,
500,59797,59767,969.0024974167887,0.008473287257382207,8,3.0,3.0,same,False,
501,59395,59448,1702.7104422064758,0.006448605879343214,3,4.0,4.0,same,False,
501,59808,59763,1872.5746820895167,0.009596015808146108,1,3.0,3.0,same,False,
501,983959,57531,109.01986057486455,0.006866169231923847,2,4.0,4.0,same,False,
502,59540,59539,171.1049385607338,0.009251097602379778,5,4.0,4.0,same,False,
502,810941,61297,615.2697375950229,0.019402197976448165,1,3.0,4.0,less major,False,
517,985246,566653,330.1029233436475,0.005426433476545257,5,4.0,4.0,same,False,
517,1056589,53453,491.2899347634104,0.013675129798567017,1,4.0,4.0,same,False,
518,1149656,54839,413.0184015265398,0.010415581812865247,1,4.0,4.0,same,False,
518,984845,54837,2794.050507776146,0.00945444993950076,2,4.0,4.0,same,False,
518,1003594,53484,150.53305284922408,0.0031434874865074874,10,4.0,4.0,same,False,
522,1002191,641191,1648.2133751422064,0.009344930588186678,6,4.0,4.0,same,False,
522,1320307,60074,604.4449437286248,0.011963763949061259,2,4.0,4.0,same,False,
523,60069,60068,177.9852802902411,0.02006298493165574,1,4.0,4.0,same,False,
526,60766,60748,904.3079342790151,0.007083258041543808,5,4.0,4.0,same,False,
526,1006271,60667,1822.6657071432485,0.00898853688636986,1,4.0,4.0,same,True,6.0
527,482758,569193,506.150461818668,0.01944241310338332,3,4.0,4.0,same,False,
528,1350171,556371,3335.2003028304257,0.017376385076974647,3,4.0,4.0,same,False,
529,1007635,1007502,379.79706423297637,0.017408713180553207,1,4.0,4.0,same,True,7.0
529,598480,422974,738.9423387507043,0.010134756742446897,5,4.0,4.0,same,False,
