TAZ_ID,OLD_SHARED_NODE_ID,NEW_NODE_ID,KEEPER_TAZ_ID,OLD_OWNER_COUNT,NEW_NODE_DISTANCE_FT,NEW_NODE_MAJOR_LEVEL,NEW_NODE_OUTSIDE_GA,OUTSIDE_TAZ_LENGTH_FT,MIN_ANGLE_DEG,CROSSES_GSTDM,BOUNDARY_FALLBACK,REVIEW_WARNING
692,258823,981112,693,2,102.64,4.0,0,4.869,75.571,0,0,
709,258866,885009,710,2,304.502,4.0,0,0.984,97.536,0,0,
696,260529,980714,697,2,199.783,4.0,0,0.0,81.66,0,0,
2007,260628,982551,2008,2,370.568,4.0,0,145.073,25.692,0,0,ANGLE_LT_70
2056,261694,1399955,2033,2,258.299,5.0,0,0.0,80.553,0,0,
5601,267051,936191,5579,2,3486.3,5.0,0,0.0,75.276,0,0,
5578,267074,267075,5579,2,688.103,4.0,0,2.779,79.89,0,0,
5604,267404,1025954,5576,2,347.389,4.0,0,0.0,109.739,0,0,
5583,267808,1551513,5584,2,177.917,4.0,0,0.0,96.096,0,0,
5590,268122,699545,5592,2,108.984,5.0,0,0.0,22.75,0,0,ANGLE_LT_70
5590,268144,1554544,5608,2,4606.742,5.0,0,2.148,168.53,0,0,
5610,268627,1554878,5611,2,925.266,4.0,0,0.0,111.862,0,0,
3184,269582,1454234,3185,2,127.436,4.0,0,3.678,105.438,0,0,
3188,269701,269702,3189,2,120.736,5.0,0,22.635,90.357,0,0,
3164,270110,461252,3165,2,384.586,4.0,0,0.0,80.209,0,0,
3202,270365,270367,3201,2,288.001,4.0,0,4.198,73.437,0,0,
3155,271904,271909,3156,2,1383.277,4.0,0,4.291,74.689,0,0,
5617,272746,1457308,5618,2,168.278,5.0,0,0.0,121.468,0,0,
5630,273641,1554889,5631,2,359.041,3.0,0,4.616,157.375,0,0,
5622,273935,678348,5625,2,547.894,4.0,0,0.0,89.596,0,0,
5637,274509,528243,5643,2,493.605,5.0,0,16.432,180.0,0,0,
5650,275509,1602877,5661,2,5918.817,5.0,0,0.0,51.415,0,0,ANGLE_LT_70
2463,277986,1009719,2464,2,1389.748,4.0,0,17.522,156.449,0,0,
2474,279053,1010495,2475,2,104.826,4.0,0,1.854,59.017,0,0,ANGLE_LT_70
1092,284558,461474,1111,2,291.029,5.0,0,0.0,163.226,0,0,
1087,284713,915651,1088,2,272.891,4.0,0,0.0,97.455,0,0,
1098,285315,1336425,1099,2,27.499,5.0,0,0.0,134.033,0,0,
1107,285832,285830,1108,2,257.427,5.0,0,0.0,32.226,0,0,ANGLE_LT_70
1101,285952,1513506,1100,2,1637.443,5.0,0,0.0,81.324,0,0,
1100,285953,285954,1106,2,637.93,4.0,0,0.0,52.641,0,0,ANGLE_LT_70
1101,285962,886365,1106,2,736.179,4.0,0,50.977,107.674,0,0,
1107,285968,285964,1106,2,438.785,4.0,0,0.474,125.509,0,0,
1121,286024,1556275,1120,2,100.517,4.0,0,11.49,127.324,0,0,
1108,286212,651627,1083,2,506.415,5.0,0,0.0,146.353,0,0,
1124,286248,889026,1083,2,110.053,4.0,0,16.901,104.612,0,0,
1080,286288,1553176,1081,2,440.33,4.0,0,8.965,38.792,0,0,ANGLE_LT_70
1082,286303,286304,1079,2,578.397,4.0,0,0.0,85.161,0,0,
1123,286332,1031327,1079,2,134.868,4.0,0,1.68,79.279,0,0,
1011,287369,974954,1012,2,190.291,4.0,0,0.0,108.789,0,0,
1038,287779,1421867,1039,2,234.387,4.0,0,24.594,59.447,0,0,ANGLE_LT_70
1040,288501,437559,1073,2,143.409,4.0,0,2.184,77.067,0,0,
1055,289004,972311,1053,2,222.674,4.0,0,1.7,127.3,0,0,
1046,289047,435533,1052,2,164.727,3.0,0,4.326,104.544,0,0,
1179,291843,291844,1181,2,193.847,4.0,0,0.938,150.79,0,0,
1170,307329,889654,1171,2,1301.788,4.0,0,4.011,72.998,0,0,
2076,309629,1692150,2141,2,453.848,5.0,0,0.0,70.235,0,0,
2112,310462,1730780,2130,2,574.442,5.0,0,39.602,71.414,0,0,
2103,310768,818129,2107,2,439.686,4.0,0,0.0,110.693,0,0,
2205,311973,1709664,2182,2,2324.592,5.0,0,0.0,34.417,0,0,ANGLE_LT_70
2082,312073,1072556,2145,2,151.403,4.0,0,1.106,154.106,0,0,
3560,321357,1355261,3566,2,101.966,5.0,0,9.119,88.344,0,0,
3558,321432,321431,3560,2,757.861,4.0,0,2.388,87.965,0,0,
1251,324561,514919,1252,2,144.826,4.0,0,0.0,118.368,0,0,
2288,325036,924760,2289,2,838.449,4.0,0,2.031,143.612,0,0,
2273,326408,939476,2278,2,179.021,4.0,0,2.58,123.31,0,0,
2252,327575,148681,2218,2,77.22,4.0,0,0.0,62.865,0,0,ANGLE_LT_70
2257,331055,478173,2258,2,40.482,4.0,0,0.0,85.783,0,0,
2332,332672,1011179,2337,2,68.845,4.0,0,0.0,111.174,0,0,
3584,334645,935333,3585,2,1691.862,4.0,0,0.0,127.528,0,0,
3610,338976,642343,3612,2,378.762,4.0,0,14.554,161.665,0,0,
5394,358697,359010,5395,2,1007.365,3.0,0,5.348,53.066,0,0,ANGLE_LT_70
3018,368466,368523,3017,2,327.245,5.0,0,0.0,169.931,0,0,
2698,373922,1445959,2699,2,222.282,5.0,0,0.0,121.473,0,0,
3854,376907,376908,3855,2,742.688,3.0,0,0.0,118.61,0,0,
3974,382250,382473,3980,2,5917.482,5.0,0,46.093,26.469,0,0,ANGLE_LT_70
3972,382478,1708102,3974,2,359.979,4.0,0,8.055,145.447,0,0,
5245,386686,716395,5246,2,123.928,5.0,0,0.0,123.78,0,0,
5316,388243,705687,5317,2,2479.721,5.0,0,10.299,93.324,0,0,
3232,389679,407890,3233,2,561.397,4.0,0,0.0,139.376,0,0,
3287,391803,1468755,3312,2,40.299,4.0,0,4.817,118.758,0,0,
3302,396925,1469737,3303,2,64.836,5.0,0,0.0,100.404,0,0,
3689,399457,1651978,3690,2,3804.037,5.0,0,13.45,117.474,0,0,
5308,403514,706725,5309,2,472.913,4.0,0,0.0,100.179,0,0,
5508,408131,250587,5509,2,571.618,4.0,0,0.0,85.863,0,0,
3150,410186,678683,5614,2,86.237,4.0,0,0.0,122.513,0,0,
3150,410205,979803,3151,2,14949.929,4.0,0,0.0,4.027,0,0,ANGLE_LT_70
1114,411331,236021,1115,2,510.227,4.0,0,26.352,96.003,0,0,
1111,411369,35969,1116,2,1976.293,4.0,0,13.444,109.604,0,0,
836,419229,1712195,835,2,8503.373,4.0,0,0.0,21.836,0,0,ANGLE_LT_70
571,423188,1006769,570,2,1417.289,4.0,0,0.0,41.407,0,0,ANGLE_LT_70
433,424661,761910,434,2,103.685,4.0,0,1.368,97.811,0,0,
1042,427091,657877,1043,2,111.64,4.0,0,9.186,158.893,0,0,
1553,428801,962490,1493,2,87.545,4.0,0,0.0,180.0,0,0,
2757,429688,1539993,2760,2,123.211,4.0,0,1751.723,180.0,0,1,OUTSIDE_TAZ_GT_200
1054,435600,973136,1053,2,2091.399,4.0,0,0.386,180.0,0,0,
230,441206,991118,231,2,130.245,4.0,0,1.84,111.738,0,0,
5286,456798,456806,5288,2,5235.602,5.0,0,14.542,115.489,0,0,
4272,458210,289552,4271,2,79.661,3.0,0,0.0,74.806,0,0,
5642,473686,677867,5644,2,1151.94,3.0,0,2.606,122.264,0,0,
846,475595,971752,858,2,185.087,4.0,0,0.0,5.393,0,0,ANGLE_LT_70
2400,484290,419685,2401,2,479.211,4.0,0,2.76,72.799,0,0,
3167,502644,502645,3166,2,435.655,4.0,0,0.0,149.306,0,0,
5506,506273,607752,5507,2,947.392,5.0,0,0.0,78.323,0,0,
3085,511547,935312,3143,2,167.76,3.0,0,0.0,91.867,0,0,
698,513260,980509,700,2,78.832,4.0,0,2.153,86.37,0,0,
3174,518390,269978,3175,2,1105.599,4.0,0,17.918,68.014,0,0,ANGLE_LT_70
872,524623,971733,873,2,368.018,3.0,0,1.85,80.78,0,0,
861,527293,971536,862,2,1035.286,4.0,0,26.206,133.875,0,0,
3445,531710,1538948,3448,2,167.001,4.0,0,64.289,74.572,0,0,
2270,532740,1690234,2281,2,2571.058,4.0,0,0.0,118.117,0,0,
849,540669,1636781,855,2,373.988,4.0,0,0.0,54.582,0,0,ANGLE_LT_70
269,541308,992186,281,2,138.412,4.0,0,0.0,73.957,0,0,
641,556432,983492,650,2,115.603,3.0,0,15.884,30.123,0,0,ANGLE_LT_70
1571,557244,634172,1573,2,112.786,4.0,0,0.0,101.687,0,0,
731,565456,1144097,733,2,49.019,4.0,0,4101.791,87.792,0,1,OUTSIDE_TAZ_GT_200
520,567947,1004284,556,2,74.336,4.0,0,2.242,72.284,0,0,
231,569716,992756,232,2,800.861,4.0,0,10.402,106.293,0,0,
479,570498,1702548,480,2,103.008,4.0,0,18.509,30.524,0,0,ANGLE_LT_70
637,571250,834311,638,2,106.873,4.0,0,12.516,80.543,0,0,
31,571778,927830,32,2,1870.437,4.0,0,0.164,80.367,0,0,
2958,581745,581749,2961,2,53.275,5.0,0,0.0,130.617,0,0,
3091,586836,44527,3092,2,159.685,4.0,0,0.52,93.131,0,0,
699,592011,981485,700,2,79.569,4.0,0,0.0,124.914,0,0,
696,592670,819462,699,2,104.965,4.0,0,3.08,82.896,0,0,
225,599334,991275,263,2,233.064,4.0,0,11.07,178.883,0,0,
3593,629291,1149465,3594,2,1004.144,3.0,0,3.583,41.412,0,0,ANGLE_LT_70
3592,629370,700911,3593,2,263.577,3.0,0,0.0,116.758,0,0,
587,630648,1032928,630,2,95.496,4.0,0,0.0,82.136,0,0,
1384,631838,640903,1387,2,82.583,4.0,0,0.0,134.509,0,0,
887,632799,570944,896,2,244.379,5.0,0,16.328,53.702,0,0,ANGLE_LT_70
1357,634471,117989,1410,2,100.512,4.0,0,0.0,78.641,0,0,
410,638988,1636697,416,2,23.364,4.0,0,0.0,180.0,0,0,
422,639308,927941,423,2,130.29,4.0,0,0.0,111.302,0,0,
4284,641426,641425,4433,2,165.382,5.0,0,0.0,180.0,0,0,
1952,645076,1093757,1957,2,76.478,4.0,0,0.0,27.493,0,0,ANGLE_LT_70
1173,654510,100162,1174,2,172.695,4.0,0,0.0,77.143,0,0,
260,664437,833354,253,2,166.646,4.0,0,0.0,133.756,0,0,
1000,665262,557430,1001,2,48.838,4.0,0,0.0,138.385,0,0,
941,665365,1152438,944,2,39.439,5.0,0,0.0,98.577,0,0,
3182,668623,1708939,3181,2,295.029,5.0,0,6.33,77.379,0,0,
772,677105,221777,774,2,396.663,5.0,0,0.0,80.117,0,0,
3162,678655,979799,3170,2,836.651,4.0,0,0.0,75.415,0,0,
3547,679344,1073786,3551,2,964.208,4.0,0,6.541,138.861,0,0,
542,681610,1007075,664,2,206.712,4.0,0,16.889,104.383,0,0,
3540,690022,318664,3541,2,125.437,4.0,0,12.719,33.736,0,0,ANGLE_LT_70
302,691643,760380,301,2,88.815,4.0,0,0.0,116.104,0,0,
5659,696502,275588,5658,2,11806.981,5.0,0,0.0,117.792,0,0,
492,702348,1006900,494,2,378.29,3.0,0,20.484,99.355,0,0,
840,731237,731238,865,2,750.684,4.0,0,136.403,176.904,0,0,
